Persistent Link,State,Title,LCCN,OCLC,ISSN,No. of Issues,First Issue Date,Last Issue Date,More Info
https://chroniclingamerica.loc.gov/lccn/sn98069043/issues/,South Dakota," The Mobridge news. [volume] (Mobridge, Walworth Co., S.D.) 190?-1917 ",sn98069043,39440657.0,2766-8029,398.0,"Jan. 1, 1909","May 17, 1917",https://chroniclingamerica.loc.gov/lccn/sn98069043/essays/
https://chroniclingamerica.loc.gov/lccn/sn98069092/issues/,South Dakota," Nachrichten=herold. (Sioux Falls, Süd-Dakota) 1901-1907 ",sn98069092,39736232.0,2577-5480,314.0,"Aug. 29, 1901","Aug. 29, 1907",https://chroniclingamerica.loc.gov/lccn/sn98069092/essays/
https://chroniclingamerica.loc.gov/lccn/sn99068037/issues/,South Dakota," The New era-leader. (Wagner, Charles Mix County, S.D.) 1911-1912 ",sn99068037,41686020.0,2689-1166,45.0,"March 10, 1911","Jan. 26, 1912",https://chroniclingamerica.loc.gov/lccn/sn99068037/essays/
https://chroniclingamerica.loc.gov/lccn/sn97065720/issues/,South Dakota," Newell reclamation news. [volume] (Newell, Butte County, S.D.) 1910-19?? ",sn97065720,36306924.0,2689-2235,71.0,"June 17, 1915","Dec. 13, 1917",https://chroniclingamerica.loc.gov/lccn/sn97065720/essays/
https://chroniclingamerica.loc.gov/lccn/2017270500/issues/,South Dakota," The Oglala light. [volume] ([Pine Ridge, S.D.]) 190?-19?? ",2017270500,4178192.0,2689-226X,129.0,"Feb. 1, 1905","April 15, 1920",https://chroniclingamerica.loc.gov/lccn/2017270500/essays/
https://chroniclingamerica.loc.gov/lccn/sn95076626/issues/,South Dakota," Philip weekly review and Bad River news. [volume] (Philip, Stanley County, S.D.) 1912-1918 ",sn95076626,33988127.0,2689-2537,301.0,"July 25, 1912","April 18, 1918",https://chroniclingamerica.loc.gov/lccn/sn95076626/essays/
https://chroniclingamerica.loc.gov/lccn/sn95076627/issues/,South Dakota," Philip weekly review. [volume] (Philip, Haakon County, S.D.) 1918-1920 ",sn95076627,33988905.0,2689-3827,47.0,"April 25, 1918","March 25, 1920",https://chroniclingamerica.loc.gov/lccn/sn95076627/essays/
https://chroniclingamerica.loc.gov/lccn/sn95076625/issues/,South Dakota," Philip weekly review. [volume] (Philip, Stanley County, S.D.) 1907-1912 ",sn95076625,33987079.0,2689-2480,261.0,"June 14, 1907","July 18, 1912",https://chroniclingamerica.loc.gov/lccn/sn95076625/essays/
https://chroniclingamerica.loc.gov/lccn/sn98062890/issues/,South Dakota," Pierre weekly free press. (Pierre, S.D.) 1889-19?? ",sn98062890,40700303.0,2475-2924,929.0,"Jan. 2, 1890","June 27, 1918",https://chroniclingamerica.loc.gov/lccn/sn98062890/essays/
https://chroniclingamerica.loc.gov/lccn/sn98062949/issues/,South Dakota," The pioneer press. (Miller, Hand County, S.D.) 1893-190? ",sn98062949,40219860.0,,498.0,"Nov. 9, 1893","Feb. 18, 1904",https://chroniclingamerica.loc.gov/lccn/sn98062949/essays/
https://chroniclingamerica.loc.gov/lccn/sn95076623/issues/,South Dakota," The pioneer-review. [volume] (Philip, Haakon County, S.D.) 1920-current ",sn95076623,33989345.0,2689-386X,129.0,"July 1, 1920","Dec. 28, 1922",https://chroniclingamerica.loc.gov/lccn/sn95076623/essays/
https://chroniclingamerica.loc.gov/lccn/sn95076622/issues/,South Dakota," The pioneer. [volume] (Philip, Haakon County, S.D.) 1???-19?? ",sn95076622,33989496.0,2689-3843,104.0,"April 12, 1917","June 26, 1919",https://chroniclingamerica.loc.gov/lccn/sn95076622/essays/
https://chroniclingamerica.loc.gov/lccn/sn91099608/issues/,South Dakota," Press and daily Dakotaian. (Yankton, Dakota Territory [S.D.]) 1880-1889 ",sn91099608,23459099.0,2473-0416,2699.0,"April 26, 1880","April 25, 1889",https://chroniclingamerica.loc.gov/lccn/sn91099608/essays/
https://chroniclingamerica.loc.gov/lccn/sn99068116/issues/,South Dakota," Reporter and farmer. [volume] (Webster, Day County, Dakota [S.D.]) 188?-1946 ",sn99068116,41569499.0,,1463.0,"Jan. 17, 1884","Jan. 9, 1913",https://chroniclingamerica.loc.gov/lccn/sn99068116/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063549/issues/,South Dakota," Saturday news. (Watertown, S.D.) 19??-19?? ",sn2001063549,47646198.0,2475-4390,567.0,"Feb. 14, 1908","June 26, 1919",https://chroniclingamerica.loc.gov/lccn/sn2001063549/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063545/issues/,South Dakota," Semi-weekly register. (Brookings, Brookings Co., S.D.) 1894-1898 ",sn2001063545,47484204.0,,429.0,"Oct. 24, 1894","Dec. 9, 1898",https://chroniclingamerica.loc.gov/lccn/sn2001063545/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063175/issues/,South Dakota," Sisseton Posten. [volume] (Effington, Sud Dakota [S.D.]) 1902-19?? ",sn2001063175,47090209.0,,487.0,"Nov. 7, 1902","June 6, 1912",https://chroniclingamerica.loc.gov/lccn/sn2001063175/essays/
https://chroniclingamerica.loc.gov/lccn/sn99062049/issues/,South Dakota," The Sisseton weekly standard. (Sisseton, Roberts County, S.D.) 1892-1929 ",sn99062049,43474045.0,2475-3440,758.0,"Dec. 23, 1904","Nov. 11, 1921",https://chroniclingamerica.loc.gov/lccn/sn99062049/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063591/issues/,South Dakota," The star. (Aberdeen, S.D.) 1891-1898 ",sn2001063591,47703580.0,2766-8150,1.0,"Jan. 18, 1894","Jan. 18, 1894",https://chroniclingamerica.loc.gov/lccn/sn2001063591/essays/
https://chroniclingamerica.loc.gov/lccn/2015270501/issues/,South Dakota," The state Democrat. [volume] (Aberdeen, South Dakota) 1890-190? ",2015270501,795711435.0,2474-0969,105.0,"Aug. 19, 1898","Aug. 17, 1900",https://chroniclingamerica.loc.gov/lccn/2015270501/essays/
https://chroniclingamerica.loc.gov/lccn/sn88076576/issues/,South Dakota," The state-line herald. (North Lemmon, Adams County, N.D.) 1907-1912 ",sn88076576,19547915.0,2577-3429,174.0,"April 3, 1908","Jan. 5, 1912",https://chroniclingamerica.loc.gov/lccn/sn88076576/essays/
https://chroniclingamerica.loc.gov/lccn/sn97065761/issues/,South Dakota," Sturgis advertiser. (Sturgis, Dakota [S.D.]) 1887-1??? ",sn97065761,36429189.0,2689-629X,221.0,"July 19, 1887","June 4, 1896",https://chroniclingamerica.loc.gov/lccn/sn97065761/essays/
https://chroniclingamerica.loc.gov/lccn/sn99062858/issues/,South Dakota," The Sully County watchman. (Clifton, Dakota [S.D.]) 1883-1894 ",sn99062858,41106589.0,2577-5391,451.0,"July 7, 1883","July 13, 1894",https://chroniclingamerica.loc.gov/lccn/sn99062858/essays/
https://chroniclingamerica.loc.gov/lccn/sn98069093/issues/,South Dakota," Süd Dakota nachrichten. (Sioux Falls, Süd=Dakota) 18??-1900 ",sn98069093,39736023.0,2577-543X,200.0,"Jan. 23, 1896","April 26, 1900",https://chroniclingamerica.loc.gov/lccn/sn98069093/essays/
https://chroniclingamerica.loc.gov/lccn/sn98069094/issues/,South Dakota," Süd Dakota Nachrichten. (Mitchell, Süd=Dakota) 1890-1899 ",sn98069094,39735754.0,,252.0,"July 30, 1891","May 7, 1896",https://chroniclingamerica.loc.gov/lccn/sn98069094/essays/
https://chroniclingamerica.loc.gov/lccn/sn98069095/issues/,South Dakota," Süd=Dakota Nachrichten und Herold. (Sioux Falls, Süd=Dakota) 1900-1901 ",sn98069095,39736147.0,2577-5464,70.0,"May 3, 1900","Aug. 22, 1901",https://chroniclingamerica.loc.gov/lccn/sn98069095/essays/
https://chroniclingamerica.loc.gov/lccn/sn99062018/issues/,South Dakota," The Tabor independent. [volume] (Tabor, S.D.) 1913-19?? ",sn99062018,42200866.0,,468.0,"Feb. 6, 1913","Jan. 19, 1922",https://chroniclingamerica.loc.gov/lccn/sn99062018/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063133/issues/,South Dakota," Turner County herald. (Hurley, Dakota [S.D.]) 1883-19?? ",sn2001063133,46954355.0,2473-0459,1818.0,"May 10, 1883","June 27, 1918",https://chroniclingamerica.loc.gov/lccn/sn2001063133/essays/
https://chroniclingamerica.loc.gov/lccn/sn84022137/issues/,South Dakota," Union County courier. [volume] (Elk Point, Union County, D.T. [S.D.]) 187?-1913 ",sn84022137,10315740.0,2689-6338,1447.0,"Nov. 21, 1877","March 20, 1913",https://chroniclingamerica.loc.gov/lccn/sn84022137/essays/
https://chroniclingamerica.loc.gov/lccn/sn99068036/issues/,South Dakota," The Wagner leader. (Wagner, Charles Mix County, S.D.) 1912-1912 ",sn99068036,41695492.0,2689-1182,9.0,"Feb. 2, 1912","March 29, 1912",https://chroniclingamerica.loc.gov/lccn/sn99068036/essays/
